CGPA,Attendance,Behaviour,Performance,CO,PO,Recommendation,Student_ID,Suggestions
7.66,98.0,1,Average,55,49.5,Maintain current performance,40,Practice regularly and improve weak areas
8.09,100.0,1,Excellent,85,76.5,Keep up the good work,41,Excellent work! Try advanced learning
7.64,97.0,1,Average,55,49.5,Maintain current performance,42,Practice regularly and improve weak areas
7.41,98.0,1,Average,55,49.5,Maintain current performance,43,Practice regularly and improve weak areas
7.26,90.0,1,Average,55,49.5,Maintain current performance,44,Practice regularly and improve weak areas
6.32,90.0,1,Average,55,49.5,Maintain current performance,45,Practice regularly and improve weak areas
6.92,95.0,1,Average,55,49.5,Maintain current performance,46,Practice regularly and improve weak areas
7.13,95.0,1,Average,55,49.5,Maintain current performance,47,Practice regularly and improve weak areas
8.35,90.0,1,Excellent,85,76.5,Keep up the good work,48,Excellent work! Try advanced learning
7.77,99.0,1,Average,55,49.5,Maintain current performance,49,Practice regularly and improve weak areas
6.09,90.0,1,Average,55,49.5,Maintain current performance,50,Practice regularly and improve weak areas
7.76,90.0,1,Average,55,49.5,Maintain current performance,51,Practice regularly and improve weak areas
7.19,88.0,1,Average,55,49.5,Maintain current performance,52,Practice regularly and improve weak areas
6.96,95.0,1,Average,55,49.5,Maintain current performance,53,Practice regularly and improve weak areas
7.99,100.0,1,Average,55,49.5,Maintain current performance,54,Practice regularly and improve weak areas
8.32,100.0,1,Excellent,85,76.5,Keep up the good work,55,Excellent work! Try advanced learning
8.25,80.0,1,Excellent,85,76.5,Keep up the good work,56,Excellent work! Try advanced learning
6.83,100.0,1,Average,55,49.5,Maintain current performance,57,Practice regularly and improve weak areas
7.25,98.0,1,Average,55,49.5,Maintain current performance,58,Practice regularly and improve weak areas
7.77,85.0,1,Average,55,49.5,Maintain current performance,59,Practice regularly and improve weak areas
8.28,99.0,1,Excellent,85,76.5,Keep up the good work,60,Excellent work! Try advanced learning
7.12,75.0,1,Good,70,63.0,Maintain current performance,61,Keep consistency and aim higher
7.35,85.0,1,Average,55,49.5,Maintain current performance,62,Practice regularly and improve weak areas
6.61,100.0,1,Average,55,49.5,Maintain current performance,63,Practice regularly and improve weak areas
6.54,95.0,1,Average,55,49.5,Maintain current performance,64,Practice regularly and improve weak areas
8.15,95.0,1,Excellent,85,76.5,Keep up the good work,65,Excellent work! Try advanced learning
8.58,70.0,1,Good,70,63.0,Maintain current performance,66,Keep consistency and aim higher
7.44,100.0,1,Average,55,49.5,Maintain current performance,67,Practice regularly and improve weak areas
8.3,95.0,1,Excellent,85,76.5,Keep up the good work,68,Excellent work! Try advanced learning
7.79,100.0,1,Average,55,49.5,Maintain current performance,69,Practice regularly and improve weak areas
6.98,80.0,1,Good,70,63.0,Maintain current performance,70,Keep consistency and aim higher
7.79,100.0,1,Average,55,49.5,Maintain current performance,71,Practice regularly and improve weak areas
8.73,90.0,1,Excellent,85,76.5,Keep up the good work,72,Excellent work! Try advanced learning
7.47,95.0,1,Average,55,49.5,Maintain current performance,73,Practice regularly and improve weak areas
8.75,95.0,1,Excellent,85,76.5,Keep up the good work,74,Excellent work! Try advanced learning
5.4,80.0,1,Average,55,49.5,Focus on weak subjects,75,Practice regularly and improve weak areas
8.16,100.0,1,Excellent,85,76.5,Keep up the good work,76,Excellent work! Try advanced learning
7.57,95.0,1,Average,55,49.5,Maintain current performance,77,Practice regularly and improve weak areas
7.26,99.0,1,Average,55,49.5,Maintain current performance,78,Practice regularly and improve weak areas
7.57,100.0,1,Average,55,49.5,Maintain current performance,79,Practice regularly and improve weak areas
5.91,80.0,1,Average,55,49.5,Focus on weak subjects,80,Practice regularly and improve weak areas
7.32,100.0,1,Average,55,49.5,Maintain current performance,81,Practice regularly and improve weak areas
7.79,85.0,1,Average,55,49.5,Maintain current performance,82,Practice regularly and improve weak areas
8.68,95.0,1,Excellent,85,76.5,Keep up the good work,83,Excellent work! Try advanced learning
7.09,98.0,1,Average,55,49.5,Maintain current performance,84,Practice regularly and improve weak areas
6.85,95.0,1,Average,55,49.5,Maintain current performance,85,Practice regularly and improve weak areas
7.1,99.0,1,Average,55,49.5,Maintain current performance,86,Practice regularly and improve weak areas
8.23,96.0,1,Excellent,85,76.5,Keep up the good work,87,Excellent work! Try advanced learning
7.76,95.0,1,Average,55,49.5,Maintain current performance,88,Practice regularly and improve weak areas
7.08,100.0,1,Average,55,49.5,Maintain current performance,89,Practice regularly and improve weak areas
7.91,80.0,1,Good,70,63.0,Maintain current performance,90,Keep consistency and aim higher
7.58,95.0,1,Average,55,49.5,Maintain current performance,91,Practice regularly and improve weak areas
8.27,88.0,1,Excellent,85,76.5,Keep up the good work,92,Excellent work! Try advanced learning
6.94,100.0,1,Average,55,49.5,Maintain current performance,93,Practice regularly and improve weak areas
7.24,80.0,1,Good,70,63.0,Maintain current performance,94,Keep consistency and aim higher
7.19,90.0,1,Average,55,49.5,Maintain current performance,95,Practice regularly and improve weak areas
6.33,100.0,1,Average,55,49.5,Maintain current performance,96,Practice regularly and improve weak areas
7.74,82.0,1,Good,70,63.0,Maintain current performance,97,Keep consistency and aim higher
7.71,90.0,1,Average,55,49.5,Maintain current performance,98,Practice regularly and improve weak areas
7.5,98.0,1,Average,55,49.5,Maintain current performance,99,Practice regularly and improve weak areas
7.31,85.0,1,Average,55,49.5,Maintain current performance,100,Practice regularly and improve weak areas
6.37,90.0,1,Average,55,49.5,Maintain current performance,101,Practice regularly and improve weak areas
7.16,90.0,1,Average,55,49.5,Maintain current performance,102,Practice regularly and improve weak areas
7.23,90.0,1,Average,55,49.5,Maintain current performance,103,Practice regularly and improve weak areas
6.86,88.0,1,Average,55,49.5,Maintain current performance,104,Practice regularly and improve weak areas
7.37,95.0,1,Average,55,49.5,Maintain current performance,105,Practice regularly and improve weak areas
7.82,95.0,1,Average,55,49.5,Maintain current performance,106,Practice regularly and improve weak areas
9.01,90.0,1,Excellent,85,76.5,Keep up the good work,107,Excellent work! Try advanced learning
7.64,90.0,1,Average,55,49.5,Maintain current performance,108,Practice regularly and improve weak areas
7.71,88.0,1,Average,55,49.5,Maintain current performance,109,Practice regularly and improve weak areas
7.44,100.0,1,Average,55,49.5,Maintain current performance,110,Practice regularly and improve weak areas
5.96,80.0,1,Average,55,49.5,Focus on weak subjects,111,Practice regularly and improve weak areas
7.48,80.0,1,Good,70,63.0,Maintain current performance,112,Keep consistency and aim higher
7.55,92.0,1,Average,55,49.5,Maintain current performance,113,Practice regularly and improve weak areas
9.47,90.0,1,Excellent,85,76.5,Keep up the good work,114,Excellent work! Try advanced learning
7.35,95.0,1,Average,55,49.5,Maintain current performance,115,Practice regularly and improve weak areas
7.74,95.0,1,Average,55,49.5,Maintain current performance,116,Practice regularly and improve weak areas
7.47,70.0,1,Good,70,63.0,Maintain current performance,117,Keep consistency and aim higher
6.57,99.0,1,Average,55,49.5,Maintain current performance,118,Practice regularly and improve weak areas
8.41,50.0,1,Average,55,49.5,Increase attendance,119,Practice regularly and improve weak areas
8.1,100.0,1,Excellent,85,76.5,Keep up the good work,120,Excellent work! Try advanced learning
8.13,95.0,1,Excellent,85,76.5,Keep up the good work,121,Excellent work! Try advanced learning
6.77,90.0,1,Average,55,49.5,Maintain current performance,122,Practice regularly and improve weak areas
8.62,95.0,1,Excellent,85,76.5,Keep up the good work,123,Excellent work! Try advanced learning
6.38,70.0,1,Average,55,49.5,Maintain current performance,124,Practice regularly and improve weak areas
7.97,85.0,1,Average,55,49.5,Maintain current performance,125,Practice regularly and improve weak areas
9.25,99.0,1,Excellent,85,76.5,Keep up the good work,126,Excellent work! Try advanced learning
6.71,70.0,1,Good,70,63.0,Maintain current performance,127,Keep consistency and aim higher
7.05,73.0,1,Good,70,63.0,Maintain current performance,128,Keep consistency and aim higher
7.58,100.0,1,Average,55,49.5,Maintain current performance,129,Practice regularly and improve weak areas
7.1,70.0,1,Good,70,63.0,Maintain current performance,130,Keep consistency and aim higher
6.26,75.0,1,Average,55,49.5,Maintain current performance,131,Practice regularly and improve weak areas
7.55,80.0,1,Good,70,63.0,Maintain current performance,132,Keep consistency and aim higher
6.65,88.0,1,Average,55,49.5,Maintain current performance,133,Practice regularly and improve weak areas
7.88,99.0,1,Average,55,49.5,Maintain current performance,134,Practice regularly and improve weak areas
6.76,100.0,1,Average,55,49.5,Maintain current performance,135,Practice regularly and improve weak areas
8.74,90.0,1,Excellent,85,76.5,Keep up the good work,136,Excellent work! Try advanced learning
6.87,80.0,1,Good,70,63.0,Maintain current performance,137,Keep consistency and aim higher
7.24,90.0,1,Average,55,49.5,Maintain current performance,138,Practice regularly and improve weak areas
8.15,2.0,1,Poor,40,36.0,"Improve study habits, Attend extra classes, Increase attendance",139,Focus on basics + attend remedial classes
6.52,87.0,1,Average,55,49.5,Maintain current performance,140,Practice regularly and improve weak areas
7.68,80.0,1,Good,70,63.0,Maintain current performance,141,Keep consistency and aim higher
8.55,50.0,1,Average,55,49.5,Increase attendance,142,Practice regularly and improve weak areas
6.21,99.0,1,Average,55,49.5,Maintain current performance,143,Practice regularly and improve weak areas
7.65,99.0,1,Average,55,49.5,Maintain current performance,144,Practice regularly and improve weak areas
7.71,70.0,1,Good,70,63.0,Maintain current performance,145,Keep consistency and aim higher
8.13,100.0,1,Excellent,85,76.5,Keep up the good work,146,Excellent work! Try advanced learning
6.51,75.0,1,Good,70,63.0,Maintain current performance,147,Keep consistency and aim higher
6.44,100.0,1,Average,55,49.5,Maintain current performance,148,Practice regularly and improve weak areas
7.92,100.0,1,Average,55,49.5,Maintain current performance,149,Practice regularly and improve weak areas
7.74,88.0,1,Average,55,49.5,Maintain current performance,150,Practice regularly and improve weak areas
7.7,80.0,1,Good,70,63.0,Maintain current performance,151,Keep consistency and aim higher
7.78,80.0,1,Good,70,63.0,Maintain current performance,152,Keep consistency and aim higher
6.96,90.0,1,Average,55,49.5,Maintain current performance,153,Practice regularly and improve weak areas
7.69,100.0,1,Average,55,49.5,Maintain current performance,154,Practice regularly and improve weak areas
7.73,100.0,1,Average,55,49.5,Maintain current performance,155,Practice regularly and improve weak areas
6.93,80.0,1,Good,70,63.0,Maintain current performance,156,Keep consistency and aim higher
8.99,100.0,1,Excellent,85,76.5,Keep up the good work,157,Excellent work! Try advanced learning
7.88,80.0,1,Good,70,63.0,Maintain current performance,158,Keep consistency and aim higher
6.55,90.0,1,Average,55,49.5,Maintain current performance,159,Practice regularly and improve weak areas
8.03,80.0,1,Excellent,85,76.5,Keep up the good work,160,Excellent work! Try advanced learning
6.72,90.0,1,Average,55,49.5,Maintain current performance,161,Practice regularly and improve weak areas
8.13,90.0,1,Excellent,85,76.5,Keep up the good work,162,Excellent work! Try advanced learning
8.43,97.0,1,Excellent,85,76.5,Keep up the good work,163,Excellent work! Try advanced learning
6.84,95.0,1,Average,55,49.5,Maintain current performance,164,Practice regularly and improve weak areas
8.27,80.0,1,Excellent,85,76.5,Keep up the good work,165,Excellent work! Try advanced learning
7.83,90.0,1,Average,55,49.5,Maintain current performance,166,Practice regularly and improve weak areas
8.16,90.0,1,Excellent,85,76.5,Keep up the good work,167,Excellent work! Try advanced learning
9.02,90.0,1,Excellent,85,76.5,Keep up the good work,168,Excellent work! Try advanced learning
7.3,40.0,1,Average,55,49.5,Increase attendance,169,Practice regularly and improve weak areas
6.9,90.0,1,Average,55,49.5,Maintain current performance,170,Practice regularly and improve weak areas
6.79,90.0,1,Average,55,49.5,Maintain current performance,171,Practice regularly and improve weak areas
6.85,90.0,1,Average,55,49.5,Maintain current performance,172,Practice regularly and improve weak areas
7.44,5.0,1,Poor,40,36.0,"Improve study habits, Attend extra classes, Increase attendance",173,Focus on basics + attend remedial classes
7.77,97.0,1,Average,55,49.5,Maintain current performance,174,Practice regularly and improve weak areas
7.72,80.0,1,Good,70,63.0,Maintain current performance,175,Keep consistency and aim higher
8.16,90.0,1,Excellent,85,76.5,Keep up the good work,176,Excellent work! Try advanced learning
7.51,90.0,1,Average,55,49.5,Maintain current performance,177,Practice regularly and improve weak areas
8.66,92.0,1,Excellent,85,76.5,Keep up the good work,178,Excellent work! Try advanced learning
7.29,100.0,1,Average,55,49.5,Maintain current performance,179,Practice regularly and improve weak areas
9.68,88.0,1,Excellent,85,76.5,Keep up the good work,180,Excellent work! Try advanced learning
8.0,95.0,1,Excellent,85,76.5,Keep up the good work,181,Excellent work! Try advanced learning
6.81,98.0,1,Average,55,49.5,Maintain current performance,182,Practice regularly and improve weak areas
6.64,90.0,1,Average,55,49.5,Maintain current performance,183,Practice regularly and improve weak areas
7.89,90.0,1,Average,55,49.5,Maintain current performance,184,Practice regularly and improve weak areas
7.32,100.0,1,Average,55,49.5,Maintain current performance,185,Practice regularly and improve weak areas
8.07,100.0,1,Excellent,85,76.5,Keep up the good work,186,Excellent work! Try advanced learning
7.88,85.0,1,Average,55,49.5,Maintain current performance,187,Practice regularly and improve weak areas
7.44,100.0,1,Average,55,49.5,Maintain current performance,188,Practice regularly and improve weak areas
6.82,80.0,1,Good,70,63.0,Maintain current performance,189,Keep consistency and aim higher
6.29,100.0,1,Average,55,49.5,Maintain current performance,190,Practice regularly and improve weak areas
7.14,95.0,1,Average,55,49.5,Maintain current performance,191,Practice regularly and improve weak areas
8.19,90.0,1,Excellent,85,76.5,Keep up the good work,192,Excellent work! Try advanced learning
7.67,70.0,1,Good,70,63.0,Maintain current performance,193,Keep consistency and aim higher
6.5,95.0,1,Average,55,49.5,Maintain current performance,194,Practice regularly and improve weak areas
7.64,100.0,1,Average,55,49.5,Maintain current performance,195,Practice regularly and improve weak areas
7.81,99.0,1,Average,55,49.5,Maintain current performance,196,Practice regularly and improve weak areas
6.79,95.0,1,Average,55,49.5,Maintain current performance,197,Practice regularly and improve weak areas
7.62,90.0,1,Average,55,49.5,Maintain current performance,198,Practice regularly and improve weak areas
7.55,80.0,1,Good,70,63.0,Maintain current performance,199,Keep consistency and aim higher
6.59,100.0,1,Average,55,49.5,Maintain current performance,200,Practice regularly and improve weak areas
7.79,90.0,1,Average,55,49.5,Maintain current performance,201,Practice regularly and improve weak areas
7.95,90.0,1,Average,55,49.5,Maintain current performance,202,Practice regularly and improve weak areas
8.37,90.0,1,Excellent,85,76.5,Keep up the good work,203,Excellent work! Try advanced learning
8.34,100.0,1,Excellent,85,76.5,Keep up the good work,204,Excellent work! Try advanced learning
6.4,85.0,1,Average,55,49.5,Maintain current performance,205,Practice regularly and improve weak areas
6.75,95.0,1,Average,55,49.5,Maintain current performance,206,Practice regularly and improve weak areas
7.91,80.0,1,Good,70,63.0,Maintain current performance,207,Keep consistency and aim higher
7.91,100.0,1,Average,55,49.5,Maintain current performance,208,Practice regularly and improve weak areas
7.91,85.0,1,Average,55,49.5,Maintain current performance,209,Practice regularly and improve weak areas
10.58,90.0,1,Excellent,85,76.5,Keep up the good work,210,Excellent work! Try advanced learning
7.96,52.0,1,Average,55,49.5,Increase attendance,211,Practice regularly and improve weak areas
8.41,88.0,1,Excellent,85,76.5,Keep up the good work,212,Excellent work! Try advanced learning
8.26,98.0,1,Excellent,85,76.5,Keep up the good work,213,Excellent work! Try advanced learning
8.02,70.0,1,Good,70,63.0,Maintain current performance,214,Keep consistency and aim higher
7.25,100.0,1,Average,55,49.5,Maintain current performance,215,Practice regularly and improve weak areas
8.11,90.0,1,Excellent,85,76.5,Keep up the good work,216,Excellent work! Try advanced learning
6.88,100.0,1,Average,55,49.5,Maintain current performance,217,Practice regularly and improve weak areas
7.31,90.0,1,Average,55,49.5,Maintain current performance,218,Practice regularly and improve weak areas
7.11,100.0,1,Average,55,49.5,Maintain current performance,219,Practice regularly and improve weak areas
7.57,90.0,1,Average,55,49.5,Maintain current performance,220,Practice regularly and improve weak areas
9.35,95.0,1,Excellent,85,76.5,Keep up the good work,221,Excellent work! Try advanced learning
6.01,88.0,1,Average,55,49.5,Maintain current performance,222,Practice regularly and improve weak areas
8.05,90.0,1,Excellent,85,76.5,Keep up the good work,223,Excellent work! Try advanced learning
6.21,97.0,1,Average,55,49.5,Maintain current performance,224,Practice regularly and improve weak areas
7.12,100.0,1,Average,55,49.5,Maintain current performance,225,Practice regularly and improve weak areas
8.37,95.0,1,Excellent,85,76.5,Keep up the good work,226,Excellent work! Try advanced learning
7.55,65.0,1,Good,70,63.0,Maintain current performance,227,Keep consistency and aim higher
6.64,80.0,1,Good,70,63.0,Maintain current performance,228,Keep consistency and aim higher
6.93,95.0,1,Average,55,49.5,Maintain current performance,229,Practice regularly and improve weak areas
8.04,90.0,1,Excellent,85,76.5,Keep up the good work,230,Excellent work! Try advanced learning
6.92,70.0,1,Good,70,63.0,Maintain current performance,231,Keep consistency and aim higher
7.67,95.0,1,Average,55,49.5,Maintain current performance,232,Practice regularly and improve weak areas
7.54,95.0,1,Average,55,49.5,Maintain current performance,233,Practice regularly and improve weak areas
6.98,95.0,1,Average,55,49.5,Maintain current performance,234,Practice regularly and improve weak areas
9.22,80.0,1,Excellent,85,76.5,Keep up the good work,235,Excellent work! Try advanced learning
8.01,75.0,1,Excellent,85,76.5,Keep up the good work,236,Excellent work! Try advanced learning
5.88,100.0,1,Average,55,49.5,Focus on weak subjects,237,Practice regularly and improve weak areas
7.65,88.0,1,Average,55,49.5,Maintain current performance,238,Practice regularly and improve weak areas
6.97,90.0,1,Average,55,49.5,Maintain current performance,239,Practice regularly and improve weak areas
8.18,85.0,1,Excellent,85,76.5,Keep up the good work,240,Excellent work! Try advanced learning
6.87,90.0,1,Average,55,49.5,Maintain current performance,241,Practice regularly and improve weak areas
7.41,85.0,1,Average,55,49.5,Maintain current performance,242,Practice regularly and improve weak areas
7.9,90.0,1,Average,55,49.5,Maintain current performance,243,Practice regularly and improve weak areas
8.19,100.0,1,Excellent,85,76.5,Keep up the good work,244,Excellent work! Try advanced learning
6.54,90.0,1,Average,55,49.5,Maintain current performance,245,Practice regularly and improve weak areas
7.23,99.0,1,Average,55,49.5,Maintain current performance,246,Practice regularly and improve weak areas
7.12,90.0,1,Average,55,49.5,Maintain current performance,247,Practice regularly and improve weak areas
6.98,98.0,1,Average,55,49.5,Maintain current performance,248,Practice regularly and improve weak areas
8.91,88.0,1,Excellent,85,76.5,Keep up the good work,249,Excellent work! Try advanced learning
7.82,88.0,1,Average,55,49.5,Maintain current performance,250,Practice regularly and improve weak areas
6.49,100.0,1,Average,55,49.5,Maintain current performance,251,Practice regularly and improve weak areas
8.23,98.0,1,Excellent,85,76.5,Keep up the good work,252,Excellent work! Try advanced learning
9.2,90.0,1,Excellent,85,76.5,Keep up the good work,253,Excellent work! Try advanced learning
8.33,95.0,1,Excellent,85,76.5,Keep up the good work,254,Excellent work! Try advanced learning
6.28,90.0,1,Average,55,49.5,Maintain current performance,255,Practice regularly and improve weak areas
7.11,70.0,1,Good,70,63.0,Maintain current performance,256,Keep consistency and aim higher
8.51,90.0,1,Excellent,85,76.5,Keep up the good work,257,Excellent work! Try advanced learning
6.93,100.0,1,Average,55,49.5,Maintain current performance,258,Practice regularly and improve weak areas
7.86,70.0,1,Good,70,63.0,Maintain current performance,259,Keep consistency and aim higher
8.12,90.0,1,Excellent,85,76.5,Keep up the good work,260,Excellent work! Try advanced learning
6.76,85.0,1,Average,55,49.5,Maintain current performance,261,Practice regularly and improve weak areas
7.45,95.0,1,Average,55,49.5,Maintain current performance,262,Practice regularly and improve weak areas
4.91,90.0,1,Poor,40,36.0,"Improve study habits, Attend extra classes, Focus on weak subjects",263,Focus on basics + attend remedial classes
6.68,100.0,1,Average,55,49.5,Maintain current performance,264,Practice regularly and improve weak areas
7.3,90.0,1,Average,55,49.5,Maintain current performance,265,Practice regularly and improve weak areas
6.5,75.0,1,Good,70,63.0,Maintain current performance,266,Keep consistency and aim higher
8.81,98.0,1,Excellent,85,76.5,Keep up the good work,267,Excellent work! Try advanced learning
6.36,95.0,1,Average,55,49.5,Maintain current performance,268,Practice regularly and improve weak areas
7.15,80.0,1,Good,70,63.0,Maintain current performance,269,Keep consistency and aim higher
7.6,80.0,1,Good,70,63.0,Maintain current performance,270,Keep consistency and aim higher
8.65,90.0,1,Excellent,85,76.5,Keep up the good work,271,Excellent work! Try advanced learning
6.35,100.0,1,Average,55,49.5,Maintain current performance,272,Practice regularly and improve weak areas
8.43,95.0,1,Excellent,85,76.5,Keep up the good work,273,Excellent work! Try advanced learning
7.51,2.0,1,Poor,40,36.0,"Improve study habits, Attend extra classes, Increase attendance",274,Focus on basics + attend remedial classes
6.71,100.0,1,Average,55,49.5,Maintain current performance,275,Practice regularly and improve weak areas
7.87,70.0,1,Good,70,63.0,Maintain current performance,276,Keep consistency and aim higher
7.66,80.0,1,Good,70,63.0,Maintain current performance,277,Keep consistency and aim higher
7.02,99.0,1,Average,55,49.5,Maintain current performance,278,Practice regularly and improve weak areas
7.56,87.0,1,Average,55,49.5,Maintain current performance,279,Practice regularly and improve weak areas
7.19,50.0,1,Average,55,49.5,Increase attendance,280,Practice regularly and improve weak areas
7.59,100.0,1,Average,55,49.5,Maintain current performance,281,Practice regularly and improve weak areas
8.03,80.0,1,Excellent,85,76.5,Keep up the good work,282,Excellent work! Try advanced learning
8.77,100.0,1,Excellent,85,76.5,Keep up the good work,283,Excellent work! Try advanced learning
6.51,100.0,1,Average,55,49.5,Maintain current performance,284,Practice regularly and improve weak areas
9.21,100.0,1,Excellent,85,76.5,Keep up the good work,285,Excellent work! Try advanced learning
5.94,90.0,1,Average,55,49.5,Focus on weak subjects,286,Practice regularly and improve weak areas
7.38,88.0,1,Average,55,49.5,Maintain current performance,287,Practice regularly and improve weak areas
7.97,98.0,1,Average,55,49.5,Maintain current performance,288,Practice regularly and improve weak areas
7.72,95.0,1,Average,55,49.5,Maintain current performance,289,Practice regularly and improve weak areas
7.0,100.0,1,Average,55,49.5,Maintain current performance,290,Practice regularly and improve weak areas
7.33,90.0,1,Average,55,49.5,Maintain current performance,291,Practice regularly and improve weak areas
7.11,90.0,1,Average,55,49.5,Maintain current performance,292,Practice regularly and improve weak areas
7.03,90.0,1,Average,55,49.5,Maintain current performance,293,Practice regularly and improve weak areas
8.18,90.0,1,Excellent,85,76.5,Keep up the good work,294,Excellent work! Try advanced learning
7.79,99.0,1,Average,55,49.5,Maintain current performance,295,Practice regularly and improve weak areas
6.95,90.0,1,Average,55,49.5,Maintain current performance,296,Practice regularly and improve weak areas
8.22,100.0,1,Excellent,85,76.5,Keep up the good work,297,Excellent work! Try advanced learning
7.75,97.0,1,Average,55,49.5,Maintain current performance,298,Practice regularly and improve weak areas
8.15,80.0,1,Excellent,85,76.5,Keep up the good work,299,Excellent work! Try advanced learning
8.0,85.0,1,Excellent,85,76.5,Keep up the good work,300,Excellent work! Try advanced learning
6.84,95.0,1,Average,55,49.5,Maintain current performance,301,Practice regularly and improve weak areas
7.05,98.0,1,Average,55,49.5,Maintain current performance,302,Practice regularly and improve weak areas
8.1,70.0,1,Good,70,63.0,Maintain current performance,303,Keep consistency and aim higher
7.99,85.0,1,Average,55,49.5,Maintain current performance,304,Practice regularly and improve weak areas
7.48,100.0,1,Average,55,49.5,Maintain current performance,305,Practice regularly and improve weak areas
7.59,70.0,1,Good,70,63.0,Maintain current performance,306,Keep consistency and aim higher
8.52,80.0,1,Excellent,85,76.5,Keep up the good work,307,Excellent work! Try advanced learning
7.03,100.0,1,Average,55,49.5,Maintain current performance,308,Practice regularly and improve weak areas
7.94,100.0,1,Average,55,49.5,Maintain current performance,309,Practice regularly and improve weak areas
7.34,100.0,1,Average,55,49.5,Maintain current performance,310,Practice regularly and improve weak areas
7.33,95.0,1,Average,55,49.5,Maintain current performance,311,Practice regularly and improve weak areas
8.38,70.0,1,Good,70,63.0,Maintain current performance,312,Keep consistency and aim higher
8.16,80.0,1,Excellent,85,76.5,Keep up the good work,313,Excellent work! Try advanced learning
8.15,98.0,1,Excellent,85,76.5,Keep up the good work,314,Excellent work! Try advanced learning
8.54,100.0,1,Excellent,85,76.5,Keep up the good work,315,Excellent work! Try advanced learning
7.52,100.0,1,Average,55,49.5,Maintain current performance,316,Practice regularly and improve weak areas
8.05,100.0,1,Excellent,85,76.5,Keep up the good work,317,Excellent work! Try advanced learning
7.25,100.0,1,Average,55,49.5,Maintain current performance,318,Practice regularly and improve weak areas
7.76,100.0,1,Average,55,49.5,Maintain current performance,319,Practice regularly and improve weak areas
7.4,95.0,1,Average,55,49.5,Maintain current performance,320,Practice regularly and improve weak areas
