Student_ID,University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you use University transportation?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,CGPA,Internships,Placed,Salary (INR LPA)
74,2020,Female,21,2019,BCSE,8,No,1,1,Online,Yes,Yes,2,Intermediate,95,No,No,No,Software Development,2,Software,Single,No,Family,Yes,No,88,40000,8.75,1,No,0.0
75,2018,Female,24,2017,BCSE,12,No,2,2,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Networking,1,Machine Learning,Married,Yes,Family,No,No,136,30000,5.4,3,No,0.0
76,2020,Male,22,2019,BCSE,8,No,3,1,Online,Yes,Yes,1,Intermediate,100,No,No,No,Programming,8,Software,Single,Yes,Bachelor,No,No,88,35000,8.16,1,No,0.0
77,2020,Male,21,2019,BCSE,8,No,4,1,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,No,88,25000,7.57,1,Yes,10.87
78,2022,Female,20,2020,BCSE,2,Yes,5,3,Offline,Yes,No,2,Basic,99,No,No,Yes,Programming,2,Software,Single,Yes,Family,Yes,No,11,600000,7.26,3,Yes,23.81
79,2022,Female,20,2019,BCSE,2,Yes,4,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Programming,2,Software,Engaged,No,Family,No,No,11,35000,7.57,1,No,0.0
80,2020,Female,20,2019,BCSE,8,Yes,1,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,2,Software,Married,No,Bachelor,No,No,71,40000,5.91,2,Yes,14.54
81,2020,Male,21,2019,BCSE,8,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Bachelor,No,No,85,20000,7.32,2,Yes,8.57
82,2019,Male,21,2019,BCSE,8,No,3,1,Offline,Yes,Yes,8,Intermediate,85,No,No,Yes,Graphics Designing,1,NETWORKING,Single,No,Family,No,No,88,20000,7.79,1,Yes,24.59
83,2019,Female,21,2019,BCSE,8,No,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,NETWORKING,Single,No,Family,No,No,83,92000,8.68,4,Yes,12.01
84,2020,Male,22,2019,BCSE,8,No,3,1,Offline,No,Yes,1,Intermediate,98,No,No,No,Web development,2,Software,Single,No,Family,No,No,80,35000,7.09,3,Yes,26.36
85,2020,Male,22,2019,BCSE,8,No,2,1,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Web development,2,NETWORKING,Single,No,Bachelor,No,No,88,20000,6.85,2,Yes,27.71
86,2020,Male,23,2017,BCSE,8,No,1,1,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,No,88,15000,7.1,4,No,0.0
87,2020,Male,23,2017,BCSE,8,Yes,2,1,Online,Yes,Yes,1,Intermediate,96,No,No,No,Networking,2,NETWORKING,Single,Yes,Family,No,No,88,30000,8.23,1,Yes,26.22
88,2022,Male,21,2020,BCSE,2,No,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,11,45000,7.76,4,Yes,3.95
89,2020,Male,22,2019,BCSE,8,No,1,1,Offline,Yes,Yes,15,Intermediate,100,No,No,Yes,Web development,1,Hardware,Relationship,No,Family,No,No,88,90000,7.08,0,Yes,24.26
90,2020,Female,21,2019,BCSE,8,No,2,2,Offline,Yes,Yes,2,Basic,80,No,No,No,Web development,1,Machine Learning,Single,No,Family,No,No,88,35000,7.91,2,No,0.0
91,2020,Male,20,2019,BCSE,8,Yes,2,1,Online,Yes,Yes,3,Basic,95,No,No,No,Web development,3,Software,Single,No,Bachelor,No,No,88,20000,7.58,1,Yes,14.11
92,2021,Male,21,2020,BCSE,2,Yes,4,2,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,No,11,100000,8.27,3,Yes,26.59
93,2019,Male,23,2018,BCSE,11,Yes,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,No,73,30000,6.94,1,Yes,20.22
94,2022,Female,20,2020,BCSE,2,No,2,1,Offline,Yes,Yes,6,Intermediate,80,Yes,No,No,Programming,2,Software,Single,No,Bachelor,No,No,11,70000,7.24,3,No,0.0
95,2018,Female,24,2016,BCSE,10,No,2,1,Online,Yes,Yes,4,Basic,90,Yes,No,No,Web development,4,Software,Single,No,Family,No,No,113,40000,7.19,1,Yes,25.51
96,2022,Female,21,2020,BCSE,2,Yes,2,4,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Engaged,Yes,Bachelor,No,No,11,10000,6.33,4,No,0.0
97,2021,Male,20,2020,BCSE,4,Yes,2,1,Offline,Yes,Yes,2,Advance,82,No,No,Yes,Programming,4,Software,Relationship,No,Bachelor,No,No,36,40000,7.74,4,No,0.0
98,2021,Male,22,2020,BCSE,4,Yes,1,1,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,0,Software,Single,No,Family,No,No,36,20000,7.71,4,Yes,16.48
99,2021,Male,20,2019,BCSE,5,No,3,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Web development,8,Machine Learning,Single,Yes,Bachelor,No,No,50,22000,7.5,0,No,0.0
100,2019,Male,23,2017,BCSE,11,No,3,2,Online,Yes,Yes,1,Intermediate,85,Yes,No,Yes,Web development,2,Software,Single,No,Bachelor,Yes,No,126,45000,7.31,3,Yes,17.45
101,2020,Female,21,2019,BCSE,8,No,4,1,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,No,88,40000,6.37,4,No,0.0
102,2022,Female,20,2020,BCSE,2,Yes,2,1,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,No,11,50000,7.16,0,Yes,6.9
103,2020,Female,22,2019,BCSE,8,Yes,3,1,Offline,Yes,Yes,4,Intermediate,90,No,No,Yes,Web development,2,Software,Single,No,Bachelor,No,No,88,50000,7.23,3,No,0.0
104,2018,Male,23,2017,BCSE,13,No,2,4,Offline,Yes,Yes,6,Basic,88,Yes,No,Yes,Networking,1,Software,Relationship,No,Bachelor,No,No,112,30000,6.86,1,Yes,24.17
105,2022,Male,20,2020,BCSE,2,Yes,3,4,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Software Development,5,Software,Single,No,Bachelor,No,No,11,40000,7.37,0,Yes,14.32
106,2021,Male,19,2020,BCSE,4,Yes,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,35,30000,7.82,2,Yes,16.5
107,2021,Male,21,2019,BCSE,4,Yes,4,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Web development,2,Software,Single,Yes,Family,No,No,27,40000,9.01,0,Yes,24.2
108,2020,Male,21,2019,BCSE,8,No,2,2,Offline,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,1,Machine Learning,Single,No,Bachelor,No,No,88,30000,7.64,0,Yes,19.17
109,2019,Female,22,2017,BCSE,10,No,9,3,Online,Yes,Yes,1,Intermediate,88,Yes,No,No,Database,1,Hardware,Single,No,Bachelor,No,No,113,62488,7.71,3,Yes,8.43
110,2022,Female,19,2020,BCSE,2,Yes,3,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,No,11,35000,7.44,1,Yes,18.94
111,2022,Female,22,2022,BCSE,4,Yes,1,1,Offline,Yes,Yes,10,Basic,80,Yes,No,No,Programming,2,Software,Single,No,Family,No,No,36,100000,5.96,2,Yes,14.01
112,2021,Male,22,2018,BCSE,4,Yes,3,2,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Networking,3,Machine Learning,Single,No,Bachelor,No,No,36,30000,7.48,4,No,0.0
113,2019,Female,21,2019,BCSE,9,No,2,3,Offline,Yes,Yes,3,Basic,92,Yes,No,Yes,Web development,1,Software,Single,Yes,Bachelor,No,No,86,20000,7.55,4,Yes,15.68
114,2021,Female,19,2020,BCSE,4,Yes,7,3,Offline,Yes,No,3,Advance,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,35,62488,9.47,0,Yes,3.76
115,2022,Male,19,2020,BCSE,2,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,11,30000,7.35,3,Yes,8.67
116,2022,Male,21,2019,BCSE,2,Yes,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Bachelor,No,No,11,20000,7.74,3,Yes,10.59
117,2019,Male,25,2018,BCSE,11,Yes,2,1,Offline,Yes,Yes,2,Intermediate,70,Yes,No,No,Web development,4,Software,Single,No,Bachelor,Yes,No,91,30000,7.47,4,No,0.0
118,2019,Female,22,2019,BCSE,9,No,3,3,Online,Yes,No,2,Basic,99,No,No,Yes,Web development,2,Data Science,Single,No,Family,Yes,No,100,20000,6.57,2,Yes,22.25
119,2018,Male,24,2017,BCSE,13,No,2,2,Offline,Yes,Yes,4,Basic,50,Yes,Yes,Yes,Web development,5,Software,Married,Yes,Bachelor,No,No,110,60000,8.41,1,No,0.0
120,2017,Male,22,2017,BCSE,15,Yes,1,1,Offline,Yes,Yes,4,Advance,100,Yes,No,Yes,Web development,4,Software,Single,No,Bachelor,Yes,No,90,62488,8.1,2,No,0.0
121,2019,Female,22,2018,BCSE,11,No,3,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Networking,0,Software,Married,No,Family,Yes,No,120,150000,8.13,1,No,0.0
122,2018,Male,23,2017,BCSE,14,No,2,2,Online,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,2,Software,Single,Yes,Family,No,No,120,30000,6.77,4,Yes,3.31
123,2021,Male,20,2019,BCSE,5,No,4,4,Offline,Yes,Yes,1,Intermediate,95,Yes,No,No,Programming,4,Software,Single,No,Bachelor,No,No,50,25000,8.62,1,No,0.0
124,2019,Male,23,2017,BCSE,9,No,2,1,Online,Yes,Yes,4,Intermediate,70,No,No,Yes,Cyber security,4,NETWORKING,Relationship,Yes,Family,No,No,100,200000,6.38,3,No,0.0
125,2015,Male,26,2012,BCSE,21,No,1,1,Offline,Yes,Yes,1,Basic,85,Yes,No,No,Web development,1,Hardware,Single,No,Bachelor,Yes,Yes,77,50000,7.97,0,Yes,14.04
126,2019,Male,22,2019,BCSE,9,No,3,5,Online,Yes,Yes,1,Intermediate,99,No,No,No,Web development,3,Software,Single,No,Bachelor,No,No,100,40000,9.25,0,Yes,27.95
127,2019,Male,23,2018,BCSE,9,No,1,1,Offline,Yes,Yes,1,Intermediate,70,No,No,No,Web development,1,Hardware,Relationship,Yes,Family,Yes,No,76,15000,6.71,4,Yes,6.02
128,2019,Male,21,2018,BCSE,11,No,2,1,Offline,Yes,Yes,1,Intermediate,73,No,No,Yes,Programming,2,NETWORKING,Single,No,Family,No,No,126,75000,7.05,3,Yes,16.94
129,2019,Male,22,2018,BCSE,11,No,2,2,Online,Yes,Yes,1,Intermediate,100,Yes,Yes,Yes,Programming,2,Software,Single,No,Bachelor,Yes,No,126,40000,7.58,2,Yes,24.24
130,2018,Female,23,2016,BCSE,14,No,3,2,Offline,Yes,Yes,1,Basic,70,Yes,No,No,Programming,2,Hardware,Single,No,Bachelor,Yes,Yes,118,20000,7.1,3,Yes,28.45
131,2019,Female,21,2018,BCSE,11,No,1,1,Offline,Yes,Yes,2,Advance,75,No,No,Yes,Web development,2,Software,Relationship,No,Family,No,No,126,40000,6.26,0,Yes,23.16
132,2021,Female,20,2019,BCSE,2,Yes,5,2,Offline,Yes,Yes,7,Basic,80,No,No,No,Programming,2,Software,Single,Yes,Bachelor,Yes,No,11,62488,7.55,0,Yes,22.46
133,2019,Female,21,2019,BCSE,9,No,6,3,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,4,Software,Single,No,Bachelor,No,No,100,62488,6.65,3,Yes,25.32
134,2019,Male,22,2019,BCSE,9,No,3,4,Offline,Yes,Yes,2,Intermediate,99,No,No,No,Web development,7,Web Development,Single,No,Bachelor,No,No,100,15000,7.88,3,Yes,15.05
